sentence,lemma,token,target,left,right
You are quite right to highlight the question about quality control and the whole question of screening.,question,question,false,You are quite right to highlight the , 
Quite a lot of what we recommend in this area does in fact refer to the quality that is absolutely necessary where any of these screening processes is concerned.,fact,fact,false,Quite a lot of what we recommend in this area does in , refer to the quality that is absolutely necessary where any of these screening processes is concerned.
"There is a contradiction here, about which I have expressed myself on a number of occasions.",occasions,occasions,false,"There is a contradiction here, about which I have expressed myself on a number of ",.
"When you are supporting a product that, in my view, is harmful, there is implied support for the whole industry and I regret that.",view,view,false,"When you are supporting a product that, in my ",", is harmful, there is implied support for the whole industry and I regret that."
"A huge reform was carried out after quite a struggle which I actively support; and, in my opinion, the decision that was taken at that time will lead to an improvement in the situation.",opinion,opinion,false,"A huge reform was carried out after quite a struggle which I actively support; and, in my ",", the decision that was taken at that time will lead to an improvement in the situation."
"A huge reform was carried out after quite a struggle which I actively support; and, in my opinion, the decision that was taken at that time will lead to an improvement in the situation.",decision,decision,false,"A huge reform was carried out after quite a struggle which I actively support; and, in my opinion, the ", that was taken at that time will lead to an improvement in the situation.
"Mr President, the first item on the order of business is a communication from the Commission on urgent political matters of major importance.",matter,matters,false,"Mr President, the first item on the order of business is a communication from the Commission on urgent political ", of major importance.
"I wish to raise a matter which has been excluded from the agenda, namely the question of Norwegian salmon dumping and the salmon subsidy.",matter,matter,true,I wish to raise a ," which has been excluded from the agenda, namely the question of Norwegian salmon dumping and the salmon subsidy."
"I wish to raise a matter which has been excluded from the agenda, namely the question of Norwegian salmon dumping and the salmon subsidy.",question,question,true,"I wish to raise a matter which has been excluded from the agenda, namely the ", of Norwegian salmon dumping and the salmon subsidy.
"Mr President, as you would quite rightly assume, I am going to speak against the suggestion from Mrs Oomen-Ruijten.",suggestion,suggestion,true,"Mr President, as you would quite rightly assume, I am going to speak against the ", from Mrs Oomen-Ruijten.
The reasons she gave are quite spurious.,reason,reasons,true,The , she gave are quite spurious.
I would also ask that the Commission take note of the fact that the European people would welcome Mr Mobutu as much as they would the greatest criminal.,fact,fact,true,I would also ask that the Commission take note of the , that the European people would welcome Mr Mobutu as much as they would the greatest criminal.
He should not be given refuge in the European Union under any circumstances.,circumstances,circumstances,false,He should not be given refuge in the European Union under any ,.
I would like to ask the Commissioner two questions.,question,questions,true,I would like to ask the Commissioner two ,.
Does the Commissioner intend to take President Mandela 's advice and agree that it is not wise for us in the West at this time to give too much advice to Mr Kabila as he tries to restore law and order in that country?,law,law,false,Does the Commissioner intend to take President Mandela 's advice and agree that it is not wise for us in the West at this time to give too much advice to Mr Kabila as he tries to restore , and order in that country?
My personal opinion is that our partners on the other side of the Atlantic helped to let the genie out of the bottle and afterwards tried somehow to put it back.,opinion,opinion,true,My personal , is that our partners on the other side of the Atlantic helped to let the genie out of the bottle and afterwards tried somehow to put it back.
"Having said that, I have been keeping in contact with the United States about how it sees the situation and how we can best cooperate in order to have law, order and a democratic country.",law,law,false,"Having said that, I have been keeping in contact with the United States about how it sees the situation and how we can best cooperate in order to have ",", order and a democratic country."
The European Union has already expressed its point of view and its willingness to help in the rehabilitation and reconstruction of the new Democratic Republic Congo. But let there be no misunderstandings.,willingness,willingness,true,The European Union has already expressed its point of view and its , to help in the rehabilitation and reconstruction of the new Democratic Republic Congo. But let there be no misunderstandings.
The only reason why I did not go into detail with regard to the humanitarian situation was because I had already gone three minutes over my time.,reason,reason,true,The only , why I did not go into detail with regard to the humanitarian situation was because I had already gone three minutes over my time.
We were very disappointed when the local military rulers did not allow the United Nations Centre for Human Rights and other agencies to send a fact-finding mission on humanitarian needs because the conditions imposed were such that it could not be accepted.,need,needs,false,We were very disappointed when the local military rulers did not allow the United Nations Centre for Human Rights and other agencies to send a fact-finding mission on humanitarian , because the conditions imposed were such that it could not be accepted.
"From the contacts we had with our special envoy who met the Foreign Minister of the Democratic Republic of Congo yesterday, it would seem that the difficulties have been overcome and we hope that in the very near future a fact-finding mission on the humanitarian situation and of the needs to respond to quickly will be made inside the Democratic Republic Congo.",difficulty,difficulties,false,"From the contacts we had with our special envoy who met the Foreign Minister of the Democratic Republic of Congo yesterday, it would seem that the ", have been overcome and we hope that in the very near future a fact-finding mission on the humanitarian situation and of the needs to respond to quickly will be made inside the Democratic Republic Congo.
"From the contacts we had with our special envoy who met the Foreign Minister of the Democratic Republic of Congo yesterday, it would seem that the difficulties have been overcome and we hope that in the very near future a fact-finding mission on the humanitarian situation and of the needs to respond to quickly will be made inside the Democratic Republic Congo.",need,needs,false,"From the contacts we had with our special envoy who met the Foreign Minister of the Democratic Republic of Congo yesterday, it would seem that the difficulties have been overcome and we hope that in the very near future a fact-finding mission on the humanitarian situation and of the ", to respond to quickly will be made inside the Democratic Republic Congo.
They have continued despite the difficulties throughout the former Zaire.,difficulty,difficulties,false,They have continued despite the , throughout the former Zaire.
"Our intention now, as I explained to this House a few months ago, is that once some peace and stability is achieved, the Commission is prepared to implement a global plan of reconstruction and rehabilitation in the Great Lakes region.",intention,intention,true,Our ," now, as I explained to this House a few months ago, is that once some peace and stability is achieved, the Commission is prepared to implement a global plan of reconstruction and rehabilitation in the Great Lakes region."
"Our intention now, as I explained to this House a few months ago, is that once some peace and stability is achieved, the Commission is prepared to implement a global plan of reconstruction and rehabilitation in the Great Lakes region.",plan,plan,true,"Our intention now, as I explained to this House a few months ago, is that once some peace and stability is achieved, the Commission is prepared to implement a global ", of reconstruction and rehabilitation in the Great Lakes region.
We hope to provide a coherent plan which responds to the needs of that region.,plan,plan,false,We hope to provide a coherent , which responds to the needs of that region.
We hope to provide a coherent plan which responds to the needs of that region.,need,needs,false,We hope to provide a coherent plan which responds to the , of that region.
"In the meantime we have made known to our special envoy and to the Council and now to this House that we are ready to mobilize ECU 90m in order to help the immediate needs of the Democratic Republic of Congo, providing those conditions which I mentioned earlier are met.",need,needs,false,In the meantime we have made known to our special envoy and to the Council and now to this House that we are ready to mobilize ECU 90m in order to help the immediate ," of the Democratic Republic of Congo, providing those conditions which I mentioned earlier are met."
The needs are urgent and we cannot wait for the normal procedures in order to commit and disburse this money.,need,needs,false,The , are urgent and we cannot wait for the normal procedures in order to commit and disburse this money.
So I hope that our Member States will act according to your suggestion because past history should teach us some lessons for the future- I refer to lending.,suggestion,suggestion,true,So I hope that our Member States will act according to your , because past history should teach us some lessons for the future- I refer to lending.
And I do not mean only to dictators but also to heavily indebted countries which have no chance of paying back the debt in a normal way.,chance,chance,true,And I do not mean only to dictators but also to heavily indebted countries which have no , of paying back the debt in a normal way.
"Given the deteriorating situation in Ankara and the possibility that the military are moving into a position towards a possible coup d'etat, what would be the position of the European Union in that event?",possibility,possibility,true,Given the deteriorating situation in Ankara and the ," that the military are moving into a position towards a possible coup d'etat, what would be the position of the European Union in that event?"
"Mr President, Commissioner, you know that many Members of the House made their approval of the customs union with Turkey contingent on compliance with the call for an immediate Turkish withdrawal from northern Iraq.",call,call,true,"Mr President, Commissioner, you know that many Members of the House made their approval of the customs union with Turkey contingent on compliance with the ", for an immediate Turkish withdrawal from northern Iraq.
"And how, in your opinion, can the human rights of the civilian population be effectively guaranteed?",opinion,opinion,false,"And how, in your ",", can the human rights of the civilian population be effectively guaranteed?"
"This reminds me of the promises we received from somebody called Tansu Ciller, then Prime Minister, now Foreign Minister of Turkey, that she was the bulwark against an Islamic Government in Turkey.",promise,promises,true,This reminds me of the ," we received from somebody called Tansu Ciller, then Prime Minister, now Foreign Minister of Turkey, that she was the bulwark against an Islamic Government in Turkey."
"Madam President, I should like to thank the Commissioner for the proposal he has made and for the announcement that he is accepting these amendments.",proposal,proposal,true,"Madam President, I should like to thank the Commissioner for the ", he has made and for the announcement that he is accepting these amendments.
"I should like to ask him to take another little look at Amendment No 4 to the first regulation, Recital 10, given that, in its own position, as it was presented to the Council, the Commission accepted that amendment.",position,position,false,"I should like to ask him to take another little look at Amendment No 4 to the first regulation, Recital 10, given that, in its own ",", as it was presented to the Council, the Commission accepted that amendment."
"I should like to ask him to take another little look at Amendment No 4 to the first regulation, Recital 10, given that, in its own position, as it was presented to the Council, the Commission accepted that amendment.",amendment,amendment,false,"I should like to ask him to take another little look at Amendment No 4 to the first regulation, Recital 10, given that, in its own position, as it was presented to the Council, the Commission accepted that ",.
We say exactly the same thing in the Explanatory Memorandum for this amendment and I must ask why the Commission cannot accept it.,amendment,amendment,false,We say exactly the same thing in the Explanatory Memorandum for this , and I must ask why the Commission cannot accept it.
"Therefore, as for the rest, I repeat that I must thank the Commissioner but I would like him to take another look at this matter and see whether that amendment cannot also be accepted.",amendment,amendment,false,"Therefore, as for the rest, I repeat that I must thank the Commissioner but I would like him to take another look at this matter and see whether that ", cannot also be accepted.
"On the question of cross-references between a Council political declaration and the regulations, the Liberal Group agrees that those references should be minimal.",question,question,true,On the ," of cross-references between a Council political declaration and the regulations, the Liberal Group agrees that those references should be minimal."
"On the question of the so-called golden rule on investment, we can support references to Article 104(c) in the relevant paragraphs within the multilateral surveillance proposition.",question,question,true,On the ," of the so-called golden rule on investment, we can support references to Article 104(c) in the relevant paragraphs within the multilateral surveillance proposition."
"On the Stability Pact, the Liberal Group welcomes the emphasis placed by Parliament on the need for interest on deposits and on fines which arise under this pact to be, in principle, assigned to own resources.",need,need,undefined,"On the Stability Pact, the Liberal Group welcomes the emphasis placed by Parliament on the "," for interest on deposits and on fines which arise under this pact to be, in principle, assigned to own resources."
"Under no circumstances, having secured additional commitments from the Council and recognizing the critical importance of the Stability and Growth Pact to EMU, will my group be prepared to postpone the vote tomorrow.",circumstances,circumstances,false,Under no ,", having secured additional commitments from the Council and recognizing the critical importance of the Stability and Growth Pact to EMU, will my group be prepared to postpone the vote tomorrow."
"Under no circumstances, having secured additional commitments from the Council and recognizing the critical importance of the Stability and Growth Pact to EMU, will my group be prepared to postpone the vote tomorrow.",commitment,commitments,false,"Under no circumstances, having secured additional "," from the Council and recognizing the critical importance of the Stability and Growth Pact to EMU, will my group be prepared to postpone the vote tomorrow."
The question of safeguarding external frontiers must be a matter for sovereign states and must be diverse as suits those states in their present circumstances and challenges.,question,question,true,The , of safeguarding external frontiers must be a matter for sovereign states and must be diverse as suits those states in their present circumstances and challenges.
The question of safeguarding external frontiers must be a matter for sovereign states and must be diverse as suits those states in their present circumstances and challenges.,circumstances,circumstances,false,The question of safeguarding external frontiers must be a matter for sovereign states and must be diverse as suits those states in their present , and challenges.
The fact is that uniformity is not necessarily unification.,fact,fact,true,The , is that uniformity is not necessarily unification.
"At this very moment, Lionel Jospin is in the process of winning an election in France on a platform which includes the demand that European stability policy should be integrated into an economic regime.",demand,demand,true,"At this very moment, Lionel Jospin is in the process of winning an election in France on a platform which includes the ", that European stability policy should be integrated into an economic regime.
"It is also high time, I believe, that the Commission abandoned its blind belief in neo-liberalism and, instead of accepting a downward spiral of competitive deflation and fiscal dumping, changed course to return to and build on the ideas of Brüning, to create a situation and a policy that would take us beyond Keynes.",belief,belief,false,"It is also high time, I believe, that the Commission abandoned its blind "," in neo-liberalism and, instead of accepting a downward spiral of competitive deflation and fiscal dumping, changed course to return to and build on the ideas of Brüning, to create a situation and a policy that would take us beyond Keynes."
"It is also high time, I believe, that the Commission abandoned its blind belief in neo-liberalism and, instead of accepting a downward spiral of competitive deflation and fiscal dumping, changed course to return to and build on the ideas of Brüning, to create a situation and a policy that would take us beyond Keynes.",idea,ideas,false,"It is also high time, I believe, that the Commission abandoned its blind belief in neo-liberalism and, instead of accepting a downward spiral of competitive deflation and fiscal dumping, changed course to return to and build on the "," of Brüning, to create a situation and a policy that would take us beyond Keynes."
"Mr Christodoulou, with his banker 's intuition, rightly saw the error of the view expressed by one Member who said- not today, but in relation to these decisions- that even symbolic texts merited recognition.",decision,decisions,false,"Mr Christodoulou, with his banker 's intuition, rightly saw the error of the view expressed by one Member who said- not today, but in relation to these ",- that even symbolic texts merited recognition.
"It is for that reason, and in order to focus attention once again on the employment issue, that the trade unions in Europe have called today 's day of action.",reason,reason,true,It is for that ,", and in order to focus attention once again on the employment issue, that the trade unions in Europe have called today 's day of action."
"Not without reason, the trade unions are looking to Amsterdam to make good the shortcomings of Maastricht.",reason,reason,false,Not without ,", the trade unions are looking to Amsterdam to make good the shortcomings of Maastricht."
I welcome the clear line taken by the rapporteur on this question and her call for the guidelines to be more binding- something that the Commission was obviously unable to insist upon.,question,question,false,I welcome the clear line taken by the rapporteur on this , and her call for the guidelines to be more binding- something that the Commission was obviously unable to insist upon.
I welcome the clear line taken by the rapporteur on this question and her call for the guidelines to be more binding- something that the Commission was obviously unable to insist upon.,call,call,true,I welcome the clear line taken by the rapporteur on this question and her , for the guidelines to be more binding- something that the Commission was obviously unable to insist upon.
"Mr President, I should like to say to the Commissioner once again how much the House naturally appreciates the fact that informal dialogue has been possible with the Commission on issues including the broad economic policy guidelines.",fact,fact,true,"Mr President, I should like to say to the Commissioner once again how much the House naturally appreciates the ", that informal dialogue has been possible with the Commission on issues including the broad economic policy guidelines.
Both the Monetary Committee and the ECOFIN Council have already indicated that they are prepared to give the idea their backing.,idea,idea,true,Both the Monetary Committee and the ECOFIN Council have already indicated that they are prepared to give the , their backing.
Both the Monetary Committee and the ECOFIN Council have already indicated that they are prepared to give the idea their backing.,backing,backing,false,Both the Monetary Committee and the ECOFIN Council have already indicated that they are prepared to give the idea their ,.
"It would mean that it should be possible to include some form of negotiation with Parliament in the process of reporting on and drafting the guidelines, because there is no doubt that, even without specific provision in the Treaty for trialogue instruments, it is still possible for the three institutions to agree on essential policy guidelines, in the interests of tackling mass unemployment effectively.",doubt,doubt,false,"It would mean that it should be possible to include some form of negotiation with Parliament in the process of reporting on and drafting the guidelines, because there is no "," that, even without specific provision in the Treaty for trialogue instruments, it is still possible for the three institutions to agree on essential policy guidelines, in the interests of tackling mass unemployment effectively."
"It would be helpful if you too were prepared to support this idea, Commissioner.",idea,idea,true,It would be helpful if you too were prepared to support this ,", Commissioner."
"In conclusion, I should be grateful to our President if he could ensure that the decisions which we take tomorrow, on matters including the broad economic policy guidelines, are conveyed as quickly as possible to both the Monetary Committee and the Dutch presidency, so that there is enough time for the issue to be referred to and discussed at a dialogue or trialogue meeting.",conclusion,conclusion,false,In ,", I should be grateful to our President if he could ensure that the decisions which we take tomorrow, on matters including the broad economic policy guidelines, are conveyed as quickly as possible to both the Monetary Committee and the Dutch presidency, so that there is enough time for the issue to be referred to and discussed at a dialogue or trialogue meeting."
"In conclusion, I should be grateful to our President if he could ensure that the decisions which we take tomorrow, on matters including the broad economic policy guidelines, are conveyed as quickly as possible to both the Monetary Committee and the Dutch presidency, so that there is enough time for the issue to be referred to and discussed at a dialogue or trialogue meeting.",decision,decisions,false,"In conclusion, I should be grateful to our President if he could ensure that the "," which we take tomorrow, on matters including the broad economic policy guidelines, are conveyed as quickly as possible to both the Monetary Committee and the Dutch presidency, so that there is enough time for the issue to be referred to and discussed at a dialogue or trialogue meeting."
"Secondly, I should like to endorse the call in the Harrison report to complete the trans-European networks.",call,call,true,"Secondly, I should like to endorse the ", in the Harrison report to complete the trans-European networks.
"Success equals jobs and on a day when thousands of workers demonstrated outside our Parliament their rightful demand for jobs, this is a positive way to redress the balance and the answer to their demands.",demand,demands,false,"Success equals jobs and on a day when thousands of workers demonstrated outside our Parliament their rightful demand for jobs, this is a positive way to redress the balance and the answer to their ",.
"Finally, I am sure that Commissioner Monti will not be surprised that I support Lyndon Harrison 's proposals for labour mobility and a common European employment policy.",proposal,proposals,true,"Finally, I am sure that Commissioner Monti will not be surprised that I support Lyndon Harrison 's ", for labour mobility and a common European employment policy.
And that is despite the assurances given by the Commissioner six months ago that not only was it illegal but that he would instruct the French ski instructors to act accordingly.,assurance,assurances,true,And that is despite the , given by the Commissioner six months ago that not only was it illegal but that he would instruct the French ski instructors to act accordingly.
"I believe that recognizing complementary therapies would serve not only to protect patients from quacks and charlatans, but also to enrich conventional medicine with constructive new approaches and ideas.",idea,ideas,false,"I believe that recognizing complementary therapies would serve not only to protect patients from quacks and charlatans, but also to enrich conventional medicine with constructive new approaches and ",.
"Traditional Western medical science would be in difficulties if it could not convince people through its high quality, but had to assert its position legally through a claim to be the sole legitimate representative.",claim,claim,true,"Traditional Western medical science would be in difficulties if it could not convince people through its high quality, but had to assert its position legally through a ", to be the sole legitimate representative.
"All scientific claims to absolute right lead to totalitarianism, sooner or later.",claim,claims,true,All scientific ," to absolute right lead to totalitarianism, sooner or later."
There is a clear need for complementary medicine to be regulated legally and the professional qualifications of practitioners must be legally recognized.,need,need,true,There is a clear , for complementary medicine to be regulated legally and the professional qualifications of practitioners must be legally recognized.
"Madam President, in following this debate, one sometimes gets the impression that one has read the wrong document.",impression,impression,true,"Madam President, in following this debate, one sometimes gets the ", that one has read the wrong document.
"The point that different Member States have different regulations or problems is a reason for supporting Mr Lannoye 's report, rather than an argument against it.",point,point,true,The ," that different Member States have different regulations or problems is a reason for supporting Mr Lannoye 's report, rather than an argument against it."
"The point that different Member States have different regulations or problems is a reason for supporting Mr Lannoye 's report, rather than an argument against it.",reason,reason,true,The point that different Member States have different regulations or problems is a ," for supporting Mr Lannoye 's report, rather than an argument against it."
"The point that different Member States have different regulations or problems is a reason for supporting Mr Lannoye 's report, rather than an argument against it.",argument,argument,true,"The point that different Member States have different regulations or problems is a reason for supporting Mr Lannoye 's report, rather than an ", against it.
"For example, Mrs Oomen-Ruijten and I are of that opinion.",opinion,opinion,true,"For example, Mrs Oomen-Ruijten and I are of that ",.
It is important to recognize that the common position reflects the main objectives of the proposal.,objective,objectives,false,It is important to recognize that the common position reflects the main , of the proposal.
It is important to recognize that the common position reflects the main objectives of the proposal.,proposal,proposal,false,It is important to recognize that the common position reflects the main objectives of the ,.
The situation in Europe today is regrettably very fragmented and in this regulation and our comments on it we should emphasize the need for uniform interpretation of liability.,need,need,true,The situation in Europe today is regrettably very fragmented and in this regulation and our comments on it we should emphasize the , for uniform interpretation of liability.
We commend this proposal to the House and we are particularly grateful to our rapporteur Mr Gonzalez Triviño for the excellent work and for the Commissioner for his patience in being with us here this evening.,proposal,proposal,false,We commend this , to the House and we are particularly grateful to our rapporteur Mr Gonzalez Triviño for the excellent work and for the Commissioner for his patience in being with us here this evening.
"I am somewhat disappointed that the Council did not agree to the Commission 's proposal that the regulation should enter into force six months after publication, but has extended that period to one year.",proposal,proposal,true,I am somewhat disappointed that the Council did not agree to the Commission 's ," that the regulation should enter into force six months after publication, but has extended that period to one year."
"I appreciate that airlines have to prepare themselves, but I preferred the Commission 's proposal to the effect that six months are sufficient.",proposal,proposal,true,"I appreciate that airlines have to prepare themselves, but I preferred the Commission 's ", to the effect that six months are sufficient.
"Commissioner, perhaps you should say something about one of Parliament 's amendments which I regard as particularly important.",amendment,amendments,false,"Commissioner, perhaps you should say something about one of Parliament 's ", which I regard as particularly important.
Ensuring that European passengers have the same rights of protection when they fly with non-Community airlines is presumably a concern that reflects both our views.,view,views,false,Ensuring that European passengers have the same rights of protection when they fly with non-Community airlines is presumably a concern that reflects both our ,.
"If we decide this jointly, Commissioner, if the Commission supports this request, the Council will create fewer difficulties for us.",difficulty,difficulties,false,"If we decide this jointly, Commissioner, if the Commission supports this request, the Council will create fewer ", for us.
"And, above all, it will create fewer difficulties for you.",difficulty,difficulties,false,"And, above all, it will create fewer ", for you.
"I would therefore ask you to comment on this particular amendment by Mr González Triviño, and to accept Parliament 's proposal that this issue should be incorporated into all negotiations with third countries.",amendment,amendment,false,I would therefore ask you to comment on this particular ," by Mr González Triviño, and to accept Parliament 's proposal that this issue should be incorporated into all negotiations with third countries."
"I would therefore ask you to comment on this particular amendment by Mr González Triviño, and to accept Parliament 's proposal that this issue should be incorporated into all negotiations with third countries.",proposal,proposal,true,"I would therefore ask you to comment on this particular amendment by Mr González Triviño, and to accept Parliament 's ", that this issue should be incorporated into all negotiations with third countries.
"I would therefore ask you to comment on this particular amendment by Mr González Triviño, and to accept Parliament 's proposal that this issue should be incorporated into all negotiations with third countries.",issue,issue,false,"I would therefore ask you to comment on this particular amendment by Mr González Triviño, and to accept Parliament 's proposal that this ", should be incorporated into all negotiations with third countries.
"Would he share with me the view that, if the Council took more interest in his reforms, it would help their speedy and thorough implementation to achieve the end that we all want, which is the most professional and effective European civil service.",view,view,true,Would he share with me the ," that, if the Council took more interest in his reforms, it would help their speedy and thorough implementation to achieve the end that we all want, which is the most professional and effective European civil service."
"Would he share with me the view that, if the Council took more interest in his reforms, it would help their speedy and thorough implementation to achieve the end that we all want, which is the most professional and effective European civil service.",end,end,true,"Would he share with me the view that, if the Council took more interest in his reforms, it would help their speedy and thorough implementation to achieve the "," that we all want, which is the most professional and effective European civil service."
"Madam President, Mr Vice-President, I congratulate you on the many proposals you have made, which in my view are entirely along the right lines.",proposal,proposals,false,"Madam President, Mr Vice-President, I congratulate you on the many "," you have made, which in my view are entirely along the right lines."
"Following on from the first question, lately many Commission staff have started to shy away from decision making because of what lies ahead of them.",question,question,false,Following on from the first ,", lately many Commission staff have started to shy away from decision making because of what lies ahead of them."
"Following on from the first question, lately many Commission staff have started to shy away from decision making because of what lies ahead of them.",decision,decision,false,"Following on from the first question, lately many Commission staff have started to shy away from ", making because of what lies ahead of them.
"Let me ask you this, what can you do to encourage the Commission staff to engage actively in decision making once more?",decision,decision,false,"Let me ask you this, what can you do to encourage the Commission staff to engage actively in ", making once more?
"And my second question is this: you propose to externalise, i. e. outsource, a range of areas.",question,question,true,And my second ," is this: you propose to externalise, i. e. outsource, a range of areas."
"Do you not see something of a contradiction between externalisation on the one hand, and your justified desire to create a unified and independent Commission staffing structure, on the other?",desire,desire,true,"Do you not see something of a contradiction between externalisation on the one hand, and your justified "," to create a unified and independent Commission staffing structure, on the other?"
"Madam President, I will be very brief by answering just the third question that related to the recommendations of the Committee of Independent Experts.",question,question,false,"Madam President, I will be very brief by answering just the third ", that related to the recommendations of the Committee of Independent Experts.
"We have either met or exceeded all of the proposals made by the Committee of Independent Experts apart from literally a couple of exceptions which, put to the test of practicality, could not be pursued.",proposal,proposals,false,We have either met or exceeded all of the ," made by the Committee of Independent Experts apart from literally a couple of exceptions which, put to the test of practicality, could not be pursued."
"Madam President, the single most important aim of the reform process must be to turn the Commission into a world-class administration capable of serving the European public.",aim,aim,true,"Madam President, the single most important ", of the reform process must be to turn the Commission into a world-class administration capable of serving the European public.
Radical reform of the category system introducing a linear career structure will provide new opportunities for staff especially women and young people.,opportunity,opportunities,false,Radical reform of the category system introducing a linear career structure will provide new , for staff especially women and young people.
"Mr President, I informed the services in advance of my wish to raise a point of order while Madame Fontaine was in the chair.",wish,wish,true,"Mr President, I informed the services in advance of my ", to raise a point of order while Madame Fontaine was in the chair.
And can I have your assurance that I will be able to do so on that occasion?,assurance,assurance,true,And can I have your , that I will be able to do so on that occasion?
And can I have your assurance that I will be able to do so on that occasion?,occasion,occasion,true,And can I have your assurance that I will be able to do so on that ,?
"Now, at the very moment when the Colombian President is meeting President Bush to discuss pursuing peace talks with revolutionary guerillas and when Zapatista supporters are marching through twelve states to Mexico City to discuss with President Fox a bill that would grant Mexico's Indians self-government, legal status for their language and rights over natural resources, the Spanish Government, on the contrary, is making a new aggressive bid to crack down on Basque independence campaigners.",bid,bid,true,"Now, at the very moment when the Colombian President is meeting President Bush to discuss pursuing peace talks with revolutionary guerillas and when Zapatista supporters are marching through twelve states to Mexico City to discuss with President Fox a bill that would grant Mexico's Indians self-government, legal status for their language and rights over natural resources, the Spanish Government, on the contrary, is making a new aggressive ", to crack down on Basque independence campaigners.
The draft before us merely entrenches the structures which supported large-scale factory farming and production and are therefore partly to blame for the crisis.,draft,draft,false,The , before us merely entrenches the structures which supported large-scale factory farming and production and are therefore partly to blame for the crisis.
"That does not alter the fact that at present, we face a situation in which we have to manage the crisis on the old playing field in line with the old rules.",fact,fact,true,That does not alter the ," that at present, we face a situation in which we have to manage the crisis on the old playing field in line with the old rules."
We cannot ignore this fact.,fact,fact,true,We cannot ignore this ,.
But anyone who is now asked for funding and support for the expenditure necessary to manage the crisis has not only a right but also a duty to call for the much-needed reforms.,right,right,true,But anyone who is now asked for funding and support for the expenditure necessary to manage the crisis has not only a , but also a duty to call for the much-needed reforms.
But anyone who is now asked for funding and support for the expenditure necessary to manage the crisis has not only a right but also a duty to call for the much-needed reforms.,duty,duty,true,But anyone who is now asked for funding and support for the expenditure necessary to manage the crisis has not only a right but also a , to call for the much-needed reforms.
But we already know that the review will reveal that there is a need for a fundamental reform of the agricultural policy.,need,need,true,But we already know that the review will reveal that there is a , for a fundamental reform of the agricultural policy.
He also mentioned vaccination as a further possibility.,possibility,possibility,false,He also mentioned vaccination as a further ,.
"Mr President, Commissioner, I have two questions.",question,questions,true,"Mr President, Commissioner, I have two ",.
You said that culling and the travelling ban are currently the main objectives.,objective,objectives,false,You said that culling and the travelling ban are currently the main ,.
Could the Commissioner answer two quick questions.,question,questions,true,Could the Commissioner answer two quick ,.
"Is the Commission in a position to give us reassurances in relation to the Armagh case straddling the border between the north of Ireland and the Republic, where we have word today of a suspect case again; sheep imported from Carlisle Mart, some of which have apparently travelled onward down south to the Republic.",position,position,false,Is the Commission in a ," to give us reassurances in relation to the Armagh case straddling the border between the north of Ireland and the Republic, where we have word today of a suspect case again; sheep imported from Carlisle Mart, some of which have apparently travelled onward down south to the Republic."
"In fact, as I am talking to you, I have just heard of gossip- and let's hope that is all it is- of sheep in Wexford, my own constituency, having been identified and being incinerated as we talk.",fact,fact,false,In ,", as I am talking to you, I have just heard of gossip- and let's hope that is all it is- of sheep in Wexford, my own constituency, having been identified and being incinerated as we talk."
"Firstly, surely it makes sense to back up State controls by imposing a duty of proof on firms in the waste industry?",proof,proof,false,"Firstly, surely it makes sense to back up State controls by imposing a duty of ", on firms in the waste industry?
"Not that I am tempting providence, Commissioner, but the risk does exist.",risk,risk,true,"Not that I am tempting providence, Commissioner, but the ", does exist.
"In recognising the prompt action of the UK on 20 and 21 February, could you confirm that the UK has in fact now asked to draw down the remaining tranche of agrimonetary compensation, as the British Minister announced last night.",fact,fact,undefined,"In recognising the prompt action of the UK on 20 and 21 February, could you confirm that the UK has in "," now asked to draw down the remaining tranche of agrimonetary compensation, as the British Minister announced last night."
"Given that the risk by land and air of infection is now so great, will you at least assure us that you will not rule out preventive vaccination, at least to give additional assistance in the attempt to stop the disease spreading, even if the animals have to be destroyed later?",attempt,attempt,true,"Given that the risk by land and air of infection is now so great, will you at least assure us that you will not rule out preventive vaccination, at least to give additional assistance in the "," to stop the disease spreading, even if the animals have to be destroyed later?"
"Commissioner Byrne, I should like to go back to the question of imported meat from outside the European Union.",question,question,true,"Commissioner Byrne, I should like to go back to the ", of imported meat from outside the European Union.
I should like to ask the Commissioner one question.,question,question,true,I should like to ask the Commissioner one ,.
"In fact in 1967 when the last outbreak occurred, the type of farming we have now did not exist.",fact,fact,false,In ," in 1967 when the last outbreak occurred, the type of farming we have now did not exist."
I should like to emphasise again the very strict controls that exist on imports and the fact that the evidence of no incidence of foot-and-mouth- or very low incidence in one or two countries- is testimony to that fact.,fact,fact,true,I should like to emphasise again the very strict controls that exist on imports and the , 
I should like to emphasise again the very strict controls that exist on imports and the fact that the evidence of no incidence of foot-and-mouth- or very low incidence in one or two countries- is testimony to that fact.,fact,fact,true,I should like to emphasise again the very strict controls that exist on imports and the , 
"I know that there is some speculation in the media in relation to this and obviously in all our deliberations about how this disease came about and how it has spread, this will be one of the issues that will be taken into account.",speculation,speculation,false,I know that there is some ," in the media in relation to this and obviously in all our deliberations about how this disease came about and how it has spread, this will be one of the issues that will be taken into account."
"One of the key components which must be enshrined within all liberalisation or competition law in this area is the question of universal access for all, so that no matter where anybody is living they have the same access as somebody living in a large urbanised area.",question,question,true,One of the key components which must be enshrined within all liberalisation or competition law in this area is the ," of universal access for all, so that no matter where anybody is living they have the same access as somebody living in a large urbanised area."
