corrected_vv,num_linkings,av_len_sent,ls,num_gerunds,der_level3,nv,der_level4,num_inf,ndw,der_level6,num_func_ngrams,num_cl,num_acl,av_tok_before_root,num_sent,num_past_simple,freq_aux,corrected_vs,der_level5,density,num_coord,num_poss,text,class
1.65,9,25.12,0.33,2,0.02,0.11,0.02,1,80,0.02,0,13,2,11.38,8,1,1.44,0.0,0.0,0.36,8,19,"The table provides information about the underground railway systems in six cities, including the date of opening, length of route and the number of passengers per year.
To begin with, underground railway systems in London, Paris and Tokyo have been opened much earlier than in other cities. This means that these systems have been developing since the previous century and, as a result, have longer routs. The longest rout of subway is in London and it is 394 kilometres. Length of railway in Paris and Tokiyo are 199 km and 155 km, that is around 2 times lower than in London.
Concerning three other cities, it is noticeable that the length of rout and the amount of passengers per year in Washington DC are significantly higher than in Kyoto and in Los Angeles. Moreover, the subway in Washington DC was opened five years earlier than in Kyoto and twenty five years earlier than in Los Angeles.
In conclusion, the highest levels of kilometres of route and of the number of passengers per year have the cities, which were opened earlier than others.
",7
3.43,20,25.36,0.14,3,0.05,0.16,0.05,11,138,0.09,3,25,8,8.73,11,4,0.52,0.25,0.06,0.47,11,14,"There is a widespread opinion that the number of men and women entering a specific specialization in the university should be the same. I fully disagree with this view and strongly believe that such suggestion is absolutely unefficient.
First of all, it is obvious that men are more inclined to specific professions, and receive better results working in some fields. For instance, in engineering or physics specializations more men succeded, probably because of a different way of thinking. If universities start to accept the same number of male and female students, the progress in science is very likely to decrease. Subsequently, it will lead to the loss of efficiency and less developments. Moreover, if there are some vacant places on a certain faculty and all women are already accepted, the rest of the men applied for this programme will not have a chance to get education.
In contrast, some people contend that this suggestion should be accepted in order to obtain national equality and eliminate the descrepancy between both genders. Notwithstanding this idea, I think that this solution to the problem of unequality is not right. Students should be choisen by their skills and abilities that they demonstrated on the exams, otherwise it seems likely that talented or smart people in one field risk to study the subject they are not keen on.
Overall, to my mind, suggested idea mainly aimed to solve the problem of inequality, will only exacerbate the situation,, leading to a more serious descrepancy between men and women.
",7
2.89,16,17.94,0.06,0,0.0,0.14,0.12,15,131,0.03,0,31,4,3.82,17,6,0.69,0.0,0.08,0.41,7,13,"There is an opinion, that artists and other creative people should be given a freedom of expression, to show their ideas in different ways – in words, in films or in music and pictures. Government shouldn't prevent societ from any kind of art. I completely agree with this point of view.


Art has always been an important part of our life. It means that we need all the artists and other creative people who feed our minds and souls, who help us to develop, who give us a fuel for thoughts. So it artists won't have a freedom to express their ideas, we (ordinary people) won't have all the benefits of art. If their would be governmental control under art, we would get in our minds what government wants. It means that we won't be free. Such a situation was in the USSR, for example.


More than that, artists are also human beings. And it's normal, that they cannon bring out their potential in 100% way, if they work under tension, or in the censorship. With no doubts, we can say, that interventions in art by government will affect creativity in a negative way.


Also, many artists and other creative people sometimes criticize things, which happen around them, political regime for example. To my mind it's a goes wrong in a country. It helps evaluate problems of different periods.


To sum it all up. I think, that creative people must have a freedom to express their ideas, and government shouldn't prevent to this process.
",7
1.83,6,17.0,0.18,1,0.05,0.13,0.02,3,74,0.0,1,21,1,4.22,9,8,0.44,0.0,0.02,0.5,2,10,"The bar chart gives information about the level of qualification between men and women, who are living in Australia. This comparison was provided in 1999.
We can see from the bar chart that percentage of men who had a skilled vocational diploma were the biggest and reached approximately 95 percentages. Also percentage of men who had a postgraduate diploma exceed percentage of women almost twice. Sixty percentage of people who had master’s degree also were males. However, three quarter of people who had undergraduate diploma were females.
If we see on people who had bachelor’s degree, that we can mark that differences between them was a very slight and females won the race only on 8 percentages.
Overall, we can say that females rarely have a skilled vocational diploma. Thus, females prefer undergraduate and males prefer postgraduate.
",2
2.33,10,22.11,0.16,2,0.0,0.13,0.06,3,99,0.04,0,15,7,4.22,9,1,0.56,0.33,0.0,0.39,6,11,"This chart bar represents the idea of changing the amount of unemployed people in various world regions in periods of 2014 and 2015 years. Overall, from this chart we can see 5 selected world regions (North Africa, Middle East, EU, Latin America and South Asia) compared with the worldwide situation. Each region features two bars, which shows unemployment data from 2014 and 2015.

As it is seen from the bar, the worldwide trend in unemployment is to remain stable. The same apes for North Africa because the percentage of unemployed people isn’t changing as if for South Asia. In Middle East we can see pozitive dynamics because the amount of people withot a job fell from 11 percents to 9,6 persents. The Same tendencies are followed in Latin America where the unemployment level got down by 1 percent. 

Though EU is the only region where the negative process is seen because the level has gone up from 7,2 to 7,9 percents. North Africa has the highest rating of unemployed people in contrast with South Asia which is percentage is three times lower.
",6
3.23,19,23.67,0.08,5,0.03,0.16,0.12,23,181,0.1,1,37,7,7.06,18,6,0.52,0.31,0.07,0.52,15,27,"The crime activity among younger generation is the issue of concern in many countries. The reasons of increased attention to this topic is the jump of the frequency of law breaks among youngers. What is the cause of such unusual growing of criminal activity? And what steps should society take to prevent futher increasing of crime commiting children and teens? As for my opinion, the main reason to law disobediance is lack of support from other parts of society. That is why parents and teachers should be ones to fix this situation by giving more attention to youngers they look after.
The social pressure, stress, depression, troubles with friends, first love and lack of time are the main problems youngest generation faces very frequently and knows too good. Teens hormonal changes and mental distability prevents them from solving these problems successfully all alone. That is why they tend to solve situations in a very radical and dramatical way, which often leads to commiting a crime. On the other hand, almost all young people have or should have special grown ups to look after them and help to become a good part of society. Lack of this help leads to the stated problem of growing criminality among youngs.
Thus, parents and teachers as people closest to young generation should take the situation under control. The most obvious idea to do it is to give more attention to children to children and teenagers. Indeed, it is known, that it is common situation, that parents are too busy earning money to get into all details of their child life As for teachers, they often have too much people in class to give proper attention to each individual. But from the other side it is possible for both parents and teachers to cooperate and notice worrying tendentions together. For example, teacher is able to feel changes in whole behavior pattern of his students and give know parents in case something wrong, and then they would take a closer look on changes in their child behaviour.
All in all, it is clear that rising crime committment rate among youngsters is a fact society cannot close eyes on. That is why both parents and teachers should give much attention to younger generation in order to prevent this situation to continue by giving younger people support they need.
",7
2.0,13,21.22,0.18,0,0.18,0.12,0.08,4,88,0.02,0,15,1,2.11,9,0,0.39,0.33,0.12,0.48,0,10,"The chart gives information about the usage of Facebook, Instagram and LinkedIn among adults in the USA.
To begin with, Facebook is the most widelyused social network because all groups of people prefer it to other social networks. As for Instagram, 18-29 age group use it significantly more than other groups (18-29 year olds use this network twice as much as 30-49 year old people). Instagram is levered towards millenials. It has the lowest rating for people of all groups older than 30.
LinkedIn is the least popular among millenials, however, all categories of people older than 30 find it more appealing than Instagram. LinkedIn has an audience that is mostly diversified because the proportion of people who use it does'not differ between groups.
To sum up, Facebook is the most popular social networks. Instagram and LinkedIn are not likely to catch up with the giant at the time because they have several times less people who use it in barely all age groups.
",7
1.83,2,17.9,0.27,3,0.03,0.12,0.03,4,75,0.08,2,13,2,7.8,10,8,0.67,0.37,0.0,0.41,4,16,"The chart below shows us the percentage of post-school qualifications in Australia according to gender in 1999. 
According the chart, we can see that the all males had skilled vocational diploma in Australia in 1999. Also about 50% of males had undergraduate diploma and bachelor's degree. In the point of about 65% postgraduate diploma and master's degree was got by males. 
If we look aat femaleswe can see a tendency of getting undergraduate diploma and bachelor's degree. And these indicators had reachged a point of about 60%. The lowest mark of getting diploma by feemale was recorded in skilled vocation diploma. In addition, the highest indications about 70% was reached in undergraduate diploma. And about 40% of female in Australia in 1999 had goit Master's degree. 
To sum up all these information we can see that in the most cases the gender who had more post-school qualifications in Australia in 1999 were males. 
",5
3.35,15,17.5,0.09,3,0.12,0.18,0.14,12,158,0.07,1,29,7,5.89,18,2,0.46,0.12,0.06,0.51,13,18,"In the modern world there is a dangerous trend: youth becomes more involved in crimes, robberies and frauds, than it used to be before.
There are several possible causes of this development, but the main reason is obviously the spread of computer games. Nowadays a teenager do not face problems with access to computer shooters and digital mazes full of bloody monsters. These games teach youngsters how to kill. Faced with murders and violence in computer games, teenager considers anger as a normal way of acting. The difference between the reality and imagined world is gone for young people. That is why story, when a child with axe murders family for prohibiting playing computer, exists.
Another reason of such trend can be the lack of opportunity for young people. Youngsters, struggling with self-realisation, and suffer from lack of motivation, see no solution of their situation, except committing a crime. On the labour market young experts are not demanded. It is hard for them to find job.
However, paying more attention to child’s activity can easily solve the problem. If parents and teachers pay attention to teenager’s development, interests and education, the trend will probably decrease. What is more, computer games are the sign of boredom, that is why it is important to provide youngster with extra courses. Person who finished high education, has less chance to commit a crime. Statistic, provided by developed countries, shows that crucial amount of crimes involve people without education.
To sum up, if parents want to prevent their child from crimes and prizon, they need to pay attention to his or her education and provide different opportunities as free-time activities.
",7
2.12,1,23.12,0.28,0,0.0,0.09,0.03,2,68,0.0,0,10,1,3.12,8,0,0.56,0.24,0.0,0.35,2,17,"This barchart illustrates the development of the print and eBook market in four countries in 2014 with a forecast for 2018. Units are measured in billions of US Dollars.
Overall, we may see that the USA have the most developed book market of all four countries, in terms of billions of US Dollars. Besides, one can note that in all the countries on the chart, except the UK, the volume of sold print books dramatically differs from the volume of sold eBooks. So, as for print books, the USA have the highest points on the chart, both for 2014 and 2018 forecast. The UK stands for the lowest point on the chart for this type of books, both for 2014 and 2018 forecast.
And what concernes the eBook market, again, the USA have the highest points, both for 2014 and 2018 forecast. But here China stands for the lowest points in eBook market, both for 2014 and 2018 forecast.
",6
2.54,18,24.73,0.09,0,0.04,0.1,0.09,12,109,0.07,3,29,5,5.82,11,4,0.5,0.67,0.16,0.43,1,10,"It is widely believed that produce the food that their own population eats more important than import. I’m compleatly against this idea.

First of all I would like to say, that there are some different point of view on this problem. Some people opien that the gouvernement need to produce the food for people, that lives in this countrie. I think this point of view are alive cause people think, that they own gouvernement will live without the food. Also some peopl think so, because they opien that, they countries is the main on the whole world.

On the other hand, there are other point of view, that the import it’s also important for gouvernement. In my opinion, when some countries import the food they make some money, therefore this will be good for economics of this countries. In addition, when countries werk together it will be great for futre world situation. Also, we can ecck at the experiance when our country (Russia) was USSR, and when we didn’t contact with many other countrie, and aim to import as little as possible, and nevertheless we have a bed situation whith import.

In conclusion, to sum up, I would like to say that it is obvious, that countries should not aim to import, because it’s so important  for each countrie, consequently I claim that it’s easy to produce the food for import and for own populatont eats.
",4
1.84,4,13.75,0.18,0,0.09,0.12,0.03,2,84,0.12,0,15,1,5.42,12,1,0.83,0.41,0.03,0.47,5,9,"Lets talk about logistic by rail in Eastern Europe in 2008. As I see from the monogram the main popular product is metal. Second level are taken manufactured goods. Third level is taken by Machinery. And the last  one are chemicals, food products, non-metallic minerals. It shows that for train more actual more heavy products. 

Now we will research another logistic system by road. Of course, the leader of this charts are food products and manufactured goods. On the next stage are chemicals (16%), non-metallic minerals (13%), metal (11%). And the most unnesasery is machinery. The comparisons between road and rail is some goods are more comfortable and practical to transported by rail and som by road, it depends off heavy of  goods. More heave products comportable to transported by rail either by road.
",4
3.46,12,33.0,0.15,4,0.1,0.18,0.08,9,122,0.05,0,17,3,6.57,7,1,0.46,0.29,0.06,0.52,9,16,"﻿Air travel has been considered to affect increasingly the ecological air state and boosted the greenhouse effect.Nevertheless, this essay disagrees that a lot of air flights are a waste of time and therefore governments are to restrict constitutionally the percentage of air travel for business and leisure.The first paragraph will discuss the essential role of air tourism and the second one will explain why laws are useless.

To begin with, most business and leisure air travel contributes to the economical state of the governments. The budget of the majority of hot countries depends on the tourism rates and the amount of people visting their country annually. For example, the southern european countries, such as Bulgaria and Greece, rely on the industries providing a wide range of service to tourists, comming round annually. The more the amount of visiters will be, the higher the government will earn.

Moreover, a lot of modernised air companies already meet ecological regulations, introducing eco-friendly designs, prohibiting overbooking and regularly rising costs in the most favourable tourism seasons.
In conclusion, there are some people who support air travel restriction, yet I believe that it will have a detrimental effect on the economicies of tourism countries and stop the development of the air travel industry on a global scale.",7
1.37,10,30.0,0.14,0,0.02,0.13,0.05,2,79,0.0,1,13,9,8.33,6,0,0.71,0.17,0.05,0.43,6,14,"The pie-chart indicates the percentage of goods transported by rail and by road within Eastern Europe in 2008. It is obvious that proportions of manufactured goods, and chemicals are practically the same, while the amount of other goods differs greatly.

In detail, the major part of things transported by rail is Metals with its 35% and manufactured goods with 25%. The greater amount of transactions made by road is 30% for food products and 28% for manufactured goods.

In both groups the quantity of machinery, chemicals and non-metallic minerals transported is not more than one-third of the whole deals made, but it is seen that machinery is preferred to be transported by rail and non-metallic minerals are most likely to be transported by road.

It is clear, that heavy goods like metals are transported by rail making 35% of all the deals, while food products transportation creates 30% of all made by road transportation.
",7
2.75,10,14.73,0.12,2,0.13,0.13,0.08,11,111,0.17,1,29,2,3.2,15,3,0.29,0.48,0.06,0.47,5,9,"Nowdays humanity live side by side with technology. Almost everyone has a phone, microwave or TV in his house. Our life become more comfortable with it but it has another side of medal. A lot of people suppose that technology can caused a lot of health problems. 

As we know, every technical invention that we use has a radiation. It’s gives not to much from one phone but if you lige gull of getjets the number of radiation is really high. Radiation dameges our organism so it’s causing a deathly issues. Moreover people have to know how to use technologies or it can damage them phisicaly. 

Some people are to reduce this problem by refusing from technologies at all. I don’t think that it’s the right way. In our time you have to deal with computers and phones so I think that people should use technologies wisely. People must understand what they really need and how they can use it.  If men refuse from every technology he will isolated from the world. He could not communicate with people who far away from him for example. 

In conclusion I want to say that people should to know what they really need.
",6
3.65,15,15.86,0.11,4,0.03,0.17,0.07,12,165,0.05,5,40,2,5.71,21,4,0.69,0.82,0.07,0.44,5,12,"The pirate copies of some art’s preduction make people who sponsored it lose a lot of money. Such illegal fact of still should be punished. I find this idea absolutly correct: and theft and consumer have equal guilt.
In my judje, in our world everything is making for simple aim - money. Nobody will produced good music or interesting movies if they cannot do stay in finance plus. Easy example, one film, which is called Mister Nobody, fall down in social consumering and producer has not been spending money for other movies of this film director. But, it loses not because of bad work, but because of burgluras and pirats. They stole this product of art. That’s why they must be punished.
On the other hand, we can see the people who download copies or watch it online (or listen, or read). Such persons make world-sellers list money. While illegal consumers exist, illegal sellers will be too. This illustrating by famous fact with black market. Elephats bones were very popular on black market consiquently in some region elephants became an extinct.
On the my point of view for some people this uncorrect exchange is very helpful. For children, who cannot buy something by themselfs, but if they will still in the present, in the future situation can deteriorate. And I think this is very important fact. Because every big crime begins from small, it is a psychological thesis. 
In conclusion I would like to harry up the government of some countries, in which there is no law, which is predicting and punishing such crime. I am practucally for 100% percents sure that this action will invigovorate market and social position in the world.
",5
2.35,2,15.86,0.12,1,0.0,0.17,0.04,7,70,0.0,2,8,1,4.29,7,1,0.55,0.43,0.04,0.47,4,3,"Talking about history of education, it’s really hard to predict what programms will appear in the future. Nothing stay unchangeble, and educational process also changed.

Is it good that only girls or boys vicited some subjects? Isnt’t it unfair? As for me, I think it is interesting to work not only with boys or girls. It hepls to create a healthy atmosphere at class room, to work with different opinions and views. Also, it is difficult to organaise the educational process in the way that will be the equal number of mele and female students in every subject.
",4
1.89,3,25.25,0.06,0,0.04,0.09,0.04,4,85,0.0,0,14,2,11.0,8,0,1.22,0.24,0.0,0.32,6,12,"The graphs below show the average maximum and minimum temperatures in Yakutsk, Russia and Rio de Janeiro, Brazil.

To start off, the temperatures in Yakutsk fluctuate nearly throughout the year, ranging from +25*C in the summer months to around -40*C in December-January. This is not the case for Rio de Janeiro, where temperatures are a lot more stable throughout, with the minimum being around +17*C in the summer to the maximum of +29-30*C in the winter. 

Of course, the most obvious observation is that Rio de Janeiro is much warmer than Yakutsk, the temperature does not go below +15*C, which is not true for Yakutsk. 

In both cities the maximum and the minimum temperatures in the same months do not differ very much. The average delta in Rio is around 8-12*C, while in Yakutsk it is around 12-13*C. There are, of course, exceptions. For example, in March in Yakutsk the minimum and maximum temperatures can differ for as much as 18*C.
",6
2.93,16,23.55,0.21,3,0.04,0.1,0.02,8,113,0.06,0,20,5,6.55,11,4,0.81,0.46,0.06,0.34,4,15,"The graph illustrates amount of money gained by the book markets in four states in 2014 and a prediction for 2018. It can be clearly seen that the USA are a prominent leader in book selling.
First of all, the USA benefit from print books in 2014 consisted 10,5 billion of US dollars, while nearly the half of this amount of money was received from eBook trade (5,5 billion). The forecast shows, however, a significant decrease in print books profit, which is from 10,5 to 7,5 billion, and a dramatic rise in eBook saling to tremendous 8,5 billion. Turning to Germany, its benefit from print in 2014 was 6 billion dollars, whilst eBook revenue consisted a tiny 1 billion. Despite this amount not being great, forecast tells that it will change to 1,5 billion in 2018. As for print, it is believed to remain stable. Regarding Chinese market, it's revenue from saling was 4,8 billions in 2014 and is predicted to fluctuate unsignificantly to 4,2 in 2018. It is shown that eBook profit will rise to 1 billion from 0,5, which is insufficient too. The last point to consider is the UK, where amount of money gained from both print and electronic books trade is quite low: 2,6 billion for print and 1,8 for eBook in 2014, which will hesitate to 2 billion and 2,3 respectively.
",7
1.83,11,34.11,0.08,1,0.02,0.12,0.13,4,121,0.0,3,22,2,11.67,9,15,0.93,0.0,0.03,0.39,7,28,"The diagram illustrates the dynamics of availabiliry of general education for children from various regions of the world in 2000 and 2012.
Overall, first, the quantity of children without the ability to get a primary school education decreased from the beginning till the end of the period. Second, the maximum level of uneducated children was in Africa, while there was a bigger access to knowledge in the Rest of World.
It is noticable, that all regions have minimized the number of children, who could not go to a primary school. For example, there was a strong downward trend in Africa – from nearly a quarter in 2000 it became lower and reached a point of around two millions less than 20 in 2012 for girls, and approximately the same decrease was for boys – 20 and 14,5 millions. Moreover, a big fall was in South Asia – the number of uneducated girls in 2012 was roughly 5 times smaller than in 2000, which was 4,8 and 21,6 millions respectively.
As it is evident, the highest point of children without ability to get a primary education in both years was being hit in Africa – in sum there were 43,7 and 32,7 millions in 2000 and 2007 respectively. At the same time, the most stable figures had the ""Rest of the World"" region, which at the beginning of the era hit a low of nearly 10,5 millions of boys without education and roughly 3 millions more than ten of girls. Afterwards, the number of boys and girls in this Region, who could not get an education, became approximately the same – 7,6 millions in 2000 and 7,7 in 2012.
",7
2.3,5,24.44,0.13,2,0.02,0.16,0.11,5,97,0.11,0,17,4,6.22,9,3,0.75,0.18,0.07,0.43,3,17,"The chart reflects changes in the number of children who do not have an access to primary school by region and gender during the period from 2000 to 2012. The general trend is that the number of children from different regions and of different gender who have no possibility to get primary education has reduced during 12 years. There was a substantive decrease in the number of boys and girls who are not accessed to primary school in Africa from almost 45 millions to less higher than 32 millions of people. As for South Asia, it must be mentioned that there was a dramatic decline for more than 20 millions. The situation in the rest of world is not an exception. More than 5 millions of children got a possibility to study in the last mentioned period. Turning to gender criterion, it is seem from the graph that more girls than boys got an access to primary education in South Asia and in the rest of world. However, the proportion of both genders are equal in Africa. To conclude, governments of all countries have been providing successful primary education policy in the period from 2000 to 2012 that allows many children to go to the first form.
",7
2.5,20,21.13,0.21,2,0.02,0.06,0.05,9,105,0.01,0,20,5,6.27,15,0,0.58,1.11,0.05,0.36,6,23,"﻿The information given demonstrates minimal and maximal temperatures accuring in Rio de Janeiro, Brasil and Yakutsk, Russia throughout the year. The data are provided in Celsium.
It can be deduced from the first grahp that the temperature in Rio de Janeiro, Brasil remains almost stable throughout the period uder discussion. The temperature rises to the highest level during the winter months. From January to February the temperure can rise up to 30 degrees Celsium; the lowest temperature during these months is about 23 degrees Celsium. Similarly, it waries from about 22 degrees Celsium to 30 degrees Celsium in December. The temperature declines to the lowest levels during the summer months in Rio de Janeiro. From June to July, the temperature level does not rise above 25 degrees Celsium and can wary from about 18 degrees to 25 degrees Celsium.
Speaking about Yakutsk, it can be notised that in contrast to Rio de Janeiro, the temperature rises the highest during the summer seasons, and the temperature level during summer and winter season are significantly different. Thus, during winter (December and January), the temperature in Yakutsk falls down to about -37 or even -40 degrees Celsium. In contrast, during summer, it can rise up to 10-20 degrees Celcium; it can rise even higher up to 22 degrees Celsium.
Overall, after analysing the information provided, it can be notised that the temperature in Rio de Janeiro, Brasil remains practically stable throughout the whole year, while the temperature in Yakutsk, Russia fluctuates, reaching the higher levels in summer. Unlike in Yakutsk, the lowest temperature levels in Rio de Janeiro appear in summer, due to the city being situated the southern hemisphere of the Earth.",8
2.04,3,26.86,0.26,1,0.1,0.13,0.05,2,85,0.0,0,14,1,6.57,7,0,0.58,0.2,0.05,0.47,2,16,"﻿The graph below demonstrates the percentage use of three different social networks by online adults in the USA by age group. In general it is clear, that Facebook turns out to be the most popular social network as it shows the highest figures in comparison with Instagram and LinkedIn among all age groups.
According to the graph, all age groups accept young people between 18-29 years prefer LinkedIn to Instagram. Nevertheless the percentage of users of 18-29 and 65+ years age groups is the same – 22 percent. Instagram appears to be popular among the youngest age group with the highest percentage of 53 percent of users, but this number is close to the lowest Facebook result of 56 percent which shows the oldest age group. The percentage of Instagram-users older than 65 year is only 6 percent, which is the lowest figure of this graph. Facebook definitely wins the popularity with the highest result of 87 percent of young users and 73 percent of 30-49 years users.",7
2.88,15,29.27,0.03,5,0.02,0.11,0.01,21,131,0.01,0,38,4,3.18,11,6,0.75,0.0,0.01,0.48,8,12,"﻿Nowadays there is a huge problem being reported by the police the amount of crimes has increased and now it is biggest there ever was. I will try to explain why this happened and how parents and teachers can solve this problem.
First of all, i think the main problem is that young people have a lot of free time and instead of doing something useful they commit crimes, i think that happens because there is nothing to do in their cities and they tend to spend more time on the streets, which can be bad for them. Also, i thinks there are people who already criminals may be even their peers and they hang out together and their influence can easily lead to new crimes being done and even more criminals appearing on the streets.
Nevertheless, there are a couple of ways i can think of how this problem can be solved by teachers and parents. For example, teachers should make their subjects interesting for students so they would spend more time studying instead of just walking round the streets. What is more, teachers could start some extra classes like football by coach, or advanced chemistry by chemistry teacher that would fill all that time which is usually spend on the streets. Talking about parents i thinks they must pay more attention to their kids activities and who are their friends. That would reduce influence of those who are bad man. They can check who is in their kid's friend list in social networks in what activities they are involved because nowadays internet makes it really easy to control everyone.
All in all, I think this problem can be solved just by those who are spending a lot time with young people their professors and parents without police being involved.",7
3.3,12,26.09,0.11,0,0.02,0.16,0.06,18,146,0.02,1,28,2,7.55,11,9,0.68,0.51,0.06,0.43,13,16,"﻿Nowadays the rate of the young committing crimes became a big issue that should be discussed and solved.
In my opinion, there can be a lot of reasons for such growth of the problem. First of all, in our busy world many parents sometimes tend to pay not as much attention to the nursery of their children as parents did before. The ideas of goodness, correct behavior and etc are often not explained to children well enough. Beside that, social media propaganda of different cruel or dangerous things being “cool” or “fun” also plays it’s role. Young people very often cannot separate information on the one you should trust, and the one you should not. Also, supposedly, it could be because of the higher amount of stress which people receive nowadays in all age categories, or the eager of the young for adrenalin.
What society really can do to help the problem is to promote correct values and inform people of what happens when you commit a crime. Parents and teachers should make sure that their kids and student are aware of the consequences, and should explain why it is so important to follow the rules and the law, and show good examples themselves. I believe that when given the right knowledge young people cannot grow up into criminals.

Children are our future and their education in all spheres of life is very important for all of us, so we should definitely work hard to help each of them to become the best humans they can be.",7
1.92,5,11.73,0.08,0,0.06,0.22,0.06,4,85,0.16,0,12,2,5.27,11,1,0.55,0.21,0.03,0.5,3,7,"Some people believe that countries only need to produce the food that their own population eats and should aim to import as little as possible. To what extent do you agree or disagree.

Today economic – one point of society. Every human need a lot of stuff (food, clothes, relax). All of this items – part of human consumption. But one of main  problem – place, where produce items. Because external influence on economic of another country may be negative. In my way, where import have food positions, none positive influence at economics. 

At first – it is technology barter. At second stimulating homestik market. At third it is culture globalization. 
",4
1.22,2,23.0,0.0,0,0.0,0.09,0.23,1,44,0.0,0,3,0,4.67,3,0,0.33,0.0,0.0,0.26,3,7,"The chart illustrates unemployment rate in world regions in 2014 and 2015. 

Overall in three regions of six unemployment rate is not change between 2014 and 2015 and its 12,5 in N.Africa, 2,9 in S.Asia and 5,9 in Worldwide. The chart shows us that in 2015 unemployment rate in Middle East and Latin America fall down from 11 to 9,6 and 6,8 to 5,8 respecively.
",2
2.55,11,25.36,0.13,2,0.11,0.15,0.03,13,130,0.07,1,28,5,5.27,11,7,0.88,0.28,0.11,0.48,10,11,"It is time that air travel is one of the reason why air pollution and global warming are increasing nowadays. Some people, and I am among them, believe that special laws should be introduced in orders to reduce the number of business and leisure flights. Firstly, there are other ways of moving around that could substitute air travel even when speed is the key factor. For example, modern trains, such as “Supsan”, are both convenient and really fats, so it would be reasonable to use them ore often of they contribute less to air pollution and global warming. Secondly, a lot of flights are inefficient, because celebrites or governmental people use large personal planes which could potentially carry more passengers. As many of these flights are for leisure, governments should control their frequency when it is possible. However, some people argue that there are areas where moving by plane or helicopter is much easier than by train or by car. They also say that when the distance is long the speed difference between aircrafts and vehicles becomes more significant. I agree with them to some extent. However, these arguments only mean that the laws reducing air travel should consider all the peculiarities of the region, travel distance and whether or not it is an important trip. All in all, I believe that governments should control the amount of air travel for leisure and business, reducing the numbers of flights when it is possible orders to reduce air pollution and global warming.     
",7
1.56,22,31.0,0.15,0,0.02,0.06,0.14,3,89,0.0,0,28,4,7.64,11,0,0.84,0.28,0.03,0.38,6,23,"the provided charts demonstrate the goods transported by the rail and road between countries in Eastern Europe during 2008.
As it can be seen from the charts, metals that are transported by the rail account for 35%, and this type of good is the biggest part of goods transported by the rail. In contrast, metals that are transported by the road account for only 11% that is less than transportation of metals by the rail three times. Manufactured goods are approximately the same both in transportation by the rail and transportation by the road and account for 25% and 28%. As it is shown on the charts, machinery constitutes 12% where it is transported by the rail, whereas machinery that is transported by the road constitutes only 2% and it is the most unsignificant good that is transported by the road. Transportation of food products by the rail account for 11% that is three times less than the food products that are transported by the road and account for 30%. As for chemicals, they account for 11% that is the same as food products; however, chemicals that are transported by the road account for 16% which are almost the same as transportation of chemicals by the rail. Transportation of non-metallic minerals by the road constitute 13% and they are twice bigger than non-metallic minerals which account for 6% and are transported by the rail.
Overall, the most significant good that is transported by the rail is metal (35%), whereas in transportation by the road food products (30%) take the biggest place. On the contrary, the smallest part of transportation by the rail goes to non-metallic minerals (6%) and in transportation by the road the smallest part goes to machinery (2%).
",7
3.03,12,27.33,0.13,5,0.04,0.07,0.02,3,122,0.01,1,20,5,5.0,12,8,0.38,0.87,0.05,0.39,6,27,"﻿The information given depicts the average maximun and minimum temperatures in certain towns, namely in Yakutsk in Russia and Rio de Janeiro in Brazil.The data are provided in the amount of degrees Celcies per each month during the year.
It can be deduced from the graph that the average minimum temperature in Rio de Janeiro remained practically unchanged at the temperature of 22 degrees Celcies over zero. Similarly, the maximum temperature was stable throughout the whole period under discussion at approximately 30 degrees Celsies over zero. Thus, the average maximum and minimum temperature there somehow stagnates between 20 and 30 degrees Celcies respectively.
Speaking about Yarkuts, the minimum temperature flactuated at about 40 degrees Celcies below zero, achieving its peak at the temperature of 10 degrees Celcies over zero in July. It demonstrates a five-time increase. While the minimum average temperature there flactuated at the level of 35 degrees Celcies below zero, having the peak at 25 degrees Celcies over zero in July. This illustrates a sixfold rise. So, the average minimum and maximum temperature in Yarkutsk shows the upward trend in the first part of the period and the downward trend in the second, returning to the previous level of temperature.
Overall, summarizing all information provided it can be stated that the average temperatures in Rio de Janeiro are constantly about 20 or 30 degrees celcies over zero during the whole year. At the same time the average temperatures in Yakutsk went down maximum to 35 degrees Celcies below zero, then had the peak at the level of 25 over zero and ,finally, went back to the last temperature. As we can see, the average temperature in Yakutsk is unpredictably high in July, as it is in Rio de Janeiro, and totally little in the rest part of the year.",7
1.22,17,18.64,0.21,0,0.04,0.08,0.19,5,71,0.07,1,14,1,3.55,11,1,0.58,0.0,0.07,0.45,4,20,"﻿The charts illustrates the number of white and non-white people in general and in prison population in the UK and the USA in 2015. Now we will discuss this chart here.

As you can see from the chart, there are about 88 percent of whie people and only 12 percent of non-whte people in USA. So, there are almast two times more white than non-white people in USA in general. We also can see that the 26 percent of prisoners are none-white people.

There is other situation in UK. There are 64 percent of white people and 36 percent of none white people. However the number of non-white prisoners is two times more than the number of white prisoners. There are 67 procent of none-white people in prison generation and 33 percent of white people.
In conclusion, I would like to point out that the the prison population of none-white people in UK is rediculously higher than in USA. There are 67 percent of none-whte peole in UK and only 26 percent in USA.",6
